"name";"construction_date";"description";"type";"city_id"
"La Sagrada Familia";'1882-03-19';The Basílica i Temple Expiatori de la Sagrada Família, also known as the Sagrada Família, is a large unfinished minor basilica in the Eixample district of Barcelona, Catalonia, Spain, and is currently the largest unfinished Roman Catholic church.;BUILDING;1
Palace of Catalan Music;'1908-02-09';Palau de la Música Catalana is a concert hall in Barcelona, Catalonia, Spain. Designed in the Catalan modernista style by the architect Lluís Domènech i Montaner, it was built between 1905 and 1908;BUILDING;1
Colosseum;'1980-01-01';The Colosseum is an oval amphitheatre in the centre of the city of Rome, Italy, just east of the Roman Forum.;CONSTRUCTION;2
St. Peter's Basilica;'1806-05-18';The Papal Basilica of Saint Peter in the Vatican, or simply Saint Peter's Basilica, is a church built in the Renaissance style located in Vatican City, the papal enclave that is within the city of Rome, Italy.;BUILDING;2
Capitoline Museums;'1471-01-01';The Capitoline Museums is a single museum containing a group of art and archaeological museums in Piazza del Campidoglio, on top of the Capitoline Hill in Rome, Italy.;MUSEUM;2
Hachiko;'1934-04-21';A statue of the Akita dog Hachikō, remembered for his unwavering loyalty to his deceased owner, is installed outside Tokyo's Shibuya Station, in Japan.;MONUMENT;3
Yayoi Kusama Museum;'2017-11-01';The Yayoi Kusama Museum is a contemporary art museum in Tokyo, Japan dedicated to the work of the Japanese artist Yayoi Kusama.;MUSEUM;3
Eiffel Tower;'1889-03-31';The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower.;CONSTRUCTION;5
Louvre;'1793-08-10';The Louvre, or the Louvre Museum, is the world's most-visited museum, and a historic landmark in Paris, France. It is the home of some of the best-known works of art, including the Mona Lisa and the Venus de Milo.;MUSEUM;5
Bois de Boulogne;'1853-01-01';The Bois de Boulogne is a large public park located along the western edge of the 16th arrondissement of Paris, near the suburb of Boulogne-Billancourt and Neuilly-sur-Seine.;RESERVE;5
